OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
3263,Polygon,8980283,SF,KY Division of Mine Permits,KGS Project,KY8980283,INACT,36229.8993,127.344966,THOMAS,RC,G E C INC,PIKEVILLE,  MT      06/18/1993  MI      04/24/1992  AM      12/11/1990,Released,7/21/1989,PERMANENT,8980283,36229.8993,5547146.645
3269,Polygon,8980310,SF,KY Division of Mine Permits,KGS Project,KY8980310,INACT,84518.47453,660.105656,BROAD BOTTOM,RC,LODESTAR ENERGY INC,PIKEVILLE,  NC      10/14/1997  FR      08/13/1997  MA      04/30/1997,Released,10/21/1991,PERMANENT,8980310,84518.47481,28754202.36
3270,Polygon,8980313,SF,KY Division of Mine Permits,KGS Project,KY8980313,INACT,22903.53224,44.12738,VARNEY,FF,N A L R COAL CORPORATION,PIKEVILLE,  FR      07/08/1994  MT      02/05/1993  NW      10/12/1990,Released,10/12/1990,PERMANENT,8980313,21737.3176,1512402.379
3272,Polygon,8980324,SF,KY Division of Mine Permits,KGS Project,KY8980324,INACT,161210.916,556.53911,PIKEVILLE,VF,LODESTAR ENERGY INC,PIKEVILLE,  MT   3  05/22/2006  MT   2  05/12/2004  MTS   1  03/19/200,Released,3/25/1991,PERMANENT,8980324,6740.49548,555304.3745
3273,Polygon,8980327,SF,KY Division of Mine Permits,KGS Project,KY8980327,INACT,12782.45182,52.311667,META,RC,JOHNS CREEK COAL COMPANY,PIKEVILLE,  MA      04/10/1996  MI      10/05/1994  MI      12/21/1993,Released,10/16/1991,PERMANENT,8980327,12782.45182,2278696.268
3274,Polygon,8980332,SF,KY Division of Mine Permits,KGS Project,KY8980332,INACT,25499.68801,165.023073,PIKEVILLE,RC,SUNNY RIDGE MINING COMPANY INC,PIKEVILLE,  MA      08/13/1993  MT      06/04/1991  SU      03/06/1991,Released,3/6/1991,PERMANENT,8980224,25499.68801,7188405.095
3276,Polygon,8980345,SF,KY Division of Mine Permits,KYDMP,KY8980345,INACT,6782.704321,13.877795,BROAD BOTTOM,RC,LENVIL LEWIS,PIKEVILLE,  FR      02/16/1996  MT      02/08/1993  SU      09/10/1991,Released,9/10/1991,PERMANENT,8980305,6782.704321,604516.7379
3277,Polygon,8980346,SF,KY Division of Mine Permits,KGS Project,KY8980346,INACT,16940.5863,56.038763,PIKEVILLE,RC,LODESTAR ENERGY INC,PIKEVILLE,  NC      10/14/1997  FR      09/06/1995  FR      08/16/1995,Released,2/10/1993,PERMANENT,8980346,16940.5863,2441048.526
3278,Polygon,8980356,SF,KY Division of Mine Permits,KGS Project,KY8980356,INACT,58463.55924,200.125099,BROAD BOTTOM,RC,LODESTAR ENERGY INC,PRESTONSBURG,  NC      10/14/1997  MA      07/01/1996  FR      10/09/1995,Released,4/1/1993,PERMANENT,8980211,58463.55925,8717449.336
3279,Polygon,8980357,SF,KY Division of Mine Permits,KGS Project,KY8980357,INACT,103357.6222,790.411592,BROAD BOTTOM,RC,LODESTAR ENERGY INC,PRESTONSBURG,  MA   7  06/18/2001  MI      12/28/1998  MT      01/20/1998,Released,4/1/1993,PERMANENT,8980266,103357.6222,34430329.17
3280,Polygon,8980360,SF,KY Division of Mine Permits,KYDMP,KY8980360,INACT,26989.88648,103.59791,BROAD BOTTOM,FF,N A L R COAL CORPORATION,PIKEVILLE,  MA      04/16/1997  MA      07/16/1996  MT      07/27/1993,Released,3/4/1992,PERMANENT,8980341,26989.88648,4512724.944
3281,Polygon,8980379,SF,KY Division of Mine Permits,KYDMP,KY8980379,INACT,2007.635667,0.650377,BROAD BOTTOM,RC,KRIS COAL MINING INC,PIKEVILLE,  SU      12/17/1992,Released,12/17/1992,PERMANENT,980202,2007.635274,28330.40987
3283,Polygon,8980392,SF,KY Division of Mine Permits,KYDMP,KY8980392,INACT,24098.43823,114.523338,BELFRY,RC,NEW RIDGE MINING COMPANY,PIKEVILLE,  SU      06/09/1993,Released,6/9/1993,PERMANENT,8980037,19484.84928,2963125.113
3284,Polygon,8980395,SF,KY Division of Mine Permits,KGS Project,KY8980395,INACT,138740.0287,372.403758,BELFRY,RC,NEW RIDGE MINING COMPANY,PIKEVILLE,  MA      08/21/1996  SU      03/31/1993,Released,3/31/1993,PERMANENT,8980116,96285.46832,10490186.87
3286,Polygon,8980414,SF,KY Division of Mine Permits,KGS Project,KY8980414,INACT,61931.68272,101.821443,META,RC,NEW RIDGE MINING COMPANY,PIKEVILLE,  MI      08/18/1997  SU      01/04/1994,Released,1/4/1994,PERMANENT,8980203,38611.02173,2552221.86
3290,Polygon,8980426,SF,KY Division of Mine Permits,KGS Project,KY8980426,INACT,56377.70815,185.911537,THOMAS,RC,ADDINGTON ENTERPRISES INC,PIKEVILLE,  MI      05/21/1996  NC      01/26/1996  SU      10/26/1994,Released,10/26/1994,PERMANENT,980168,56377.70815,8098306.756
3291,Polygon,8980429,SF,KY Division of Mine Permits,KGS Project,KY8980429,INACT,45333.14827,86.408227,THOMAS,RC,ADDINGTON ENTERPRISES INC,PIKEVILLE,  NC      01/26/1996  MI      01/11/1995  SU      11/18/1994,Released,11/18/1994,PERMANENT,8980330,45333.1477,3763942.783
3293,Polygon,8980433,SF,KY Division of Mine Permits,KGS Project,KY8980433,INACT,42697.1346,20.005207,THOMAS,RC,ADDINGTON ENTERPRISES INC,PIKEVILLE,  NC      01/26/1996  RN      09/25/1995  MI      01/04/1995,Released,8/4/1994,PERMANENT,980125,42697.1346,871426.7856
3294,Polygon,8980436,SF,KY Division of Mine Permits,KGS Project,KY8980436,INACT,4886.580924,2.183712,BROAD BOTTOM,RC,WEDDINGTON BRANCH MINING CO INC,PIKEVILLE,  MI   7  01/15/2004  MA   6  09/24/2002  MI      05/15/1997,Released,7/28/1994,PERMANENT,8980126,4886.580924,95122.49222
3299,Polygon,8980465,SF,KY Division of Mine Permits,KGS Project,KY8980465,INACT,3150.498471,9.795413,BROAD BOTTOM,RC,BAYONET MINING COMPANY INC,PIKEVILLE,  MT      09/29/1998  MA      04/22/1998  NW      11/29/1995,Released,11/29/1995,PERMANENT,8980465,3150.498471,426688.1708
3300,Polygon,8980471,SF,KY Division of Mine Permits,KYDMP,KY8980471,INACT,66728.61851,98.309118,BELFRY,RC,SUNNY RIDGE MINING COMPANY INC,PIKEVILLE,  SU      08/25/1995,Released,8/25/1995,PERMANENT,8980064,65473.85073,4127097.854
3302,Polygon,8980472,SF,KY Division of Mine Permits,KYDMP,KY8980472,INACT,32058.2974,68.217503,BELFRY,RC,SUNNY RIDGE MINING COMPANY INC,PIKEVILLE,  MI   2  06/22/2000  FR   1  03/01/2000  SU      08/25/1995,Released,8/25/1995,PERMANENT,8980184,30809.95179,2643199.887
3310,Polygon,8980508,SF,KY Division of Mine Permits,KYDMP,KY8980508,INACT,40317.49064,109.476348,PIKEVILLE,RC,BELFRY COAL CORPORATION,PIKEVILLE,  SU      06/04/1998,Released,6/4/1998,PERMANENT,980189,38005.4113,2630630.996
3311,Polygon,8980511,SF,KY Division of Mine Permits,KYDMP,KY8980511,INACT,3537.043302,4.716543,BROAD BOTTOM,RC,RAPID MINING INC,PIKEVILLE,  NW      03/26/1998,Released,3/26/1998,PERMANENT,8980511,3537.043302,205452.6087
3313,Polygon,8980519,SF,KY Division of Mine Permits,KYDMP,KY8980519,INACT,90932.76333,1290.190745,META,RC,HNR MINING INC,PIKEVILLE,  NC   1  01/09/2003  MT   2  04/23/2001  MTS   1  04/18/200,Released,7/29/1998,PERMANENT,8980253,90932.76333,56200709.03
3315,Polygon,8980520,SF,KY Division of Mine Permits,KGS Project,KY8980520,INACT,44133.56084,362.498849,BROAD BOTTOM,RC,ADDINGTON MINING INC,PRESTONSBURG,  MI      02/10/1999  SU      04/17/1998,Released,4/17/1998,PERMANENT,8980288,44133.56084,15790449.72
3316,Polygon,8980521,SF,KY Division of Mine Permits,KYDMP,KY8980521,INACT,103978.621,435.042448,VARNEY,RC,HNR MINING INC,PIKEVILLE,  NC   1  01/03/2003  MA   5  03/30/2000  MI   4  07/21/1999,Released,4/30/1998,PERMANENT,8980300,103978.621,18950449.07
3317,Polygon,8980523,SF,KY Division of Mine Permits,KYDMP,KY8980523,INACT,61017.63339,147.276995,THOMAS,RC,ADDINGTON MINING INC,PIKEVILLE,  MI      05/12/1999  SU      04/27/1998,Released,4/27/1998,PERMANENT,8980013,61017.63341,6415385.948
3319,Polygon,8980532,SF,KY Division of Mine Permits,KYDMP,KY8980532,INACT,29661.94701,174.281504,VARNEY,RC,HNR MINING INC,PIKEVILLE,  MT   2  05/12/2004  NC   1  01/10/2003  MI   3  09/14/2001,Released,7/7/1998,PERMANENT,8980459,29661.94701,7591702.292
3320,Polygon,8980545,SF,KY Division of Mine Permits,KYDMP,KY8980545,INACT,91287.05177,155.163263,LICK CREEK,RC,BERKELEY ENERGY CORPORATION,PIKEVILLE,  MT   3  10/20/2011  RN   2  02/05/2010  MT   2  02/14/2008,Released,10/1/1999,PERMANENT,8980545,91287.05177,6758911.587
